blockx,blocky,xsize,ysize,blocktype/hazard,scale,imagepath
100,800,100,50,block,1,docs\Blocks\smallgrass.png
160,800,100,50,sign,1,docs\Blocks\smallgrass.pn
200,800,100,50,sign,1,docs\Blocks\smallgrass.pn
275,800,100,50,block,1,docs\Blocks\smallgrass.p
325,800,100,50,block,1,docs\Blocks\smallgrass.p
450,800,100,50,block,1,docs\Blocks\smallgrass.p
1000,800,100,50,block,1,docs\Blocks\smallgrass.
1280,800,100,50,block,1,docs\Blocks\smallgrass.
1450,800,100,50,block,1,docs\Blocks\smallgrass.
1550,800,100,50,block,1,docs\Blocks\smallgrass.
1700,800,100,50,block,1,docs\Blocks\smallgrass.
1800,800,100,50,block,1,docs\Blocks\smallgrass.
2000,800,100,50,block,1,docs\Blocks\smallgrass.
2000,800,100,50,block,1,docs\Blocks\smallgrass.
2300,800,100,50,block,1,docs\Blocks\smallgrass.
2400,800,100,50,block,1,docs\Blocks\smallgrass.
2500,800,100,50,block,1,docs\Blocks\smallgrass.
2700,800,100,50,block,1,docs\Blocks\smallgrass.
2800,800,100,50,block,1,docs\Blocks\smallgrass.
3000,800,100,50,block,1,docs\Blocks\smallgrass.
3150,800,100,50,block,1,docs\Blocks\smallgrass.
3200,800,100,50,block,1,docs\Blocks\smallgrass.
3500,800,100,50,block,1,docs\Blocks\smallgrass.
3600,800,100,50,block,1,docs\Blocks\smallgrass.
3700,800,100,50,block,1,docs\Blocks\smallgrass.
3850,800,100,50,block,1,docs\Blocks\smallgrass.
4000,800,100,50,block,1,docs\Blocks\smallgrass.
4100,800,100,50,hazard,1,docs\Blocks\smallgrass
4350,800,100,50,block,1,docs\Blocks\smallgrass.
4360,800,100,50,hazard,1,docs\Blocks\smallgrass
4600,800,100,50,block,1,docs\Blocks\smallgrass.
4700,800,100,50,block,1,docs\Blocks\smallgrass.
4800,800,100,50,block,1,docs\Blocks\smallgrass.
4932,800,100,50,block,1,docs\Blocks\smallgrass.
5010,800,100,50,block,1,docs\Blocks\smallgrass.
5500,800,100,50,block,1,docs\Blocks\smallgrass.
5503,800,100,50,finish,1,docs\Blocks\smallgrass
5503,800,100,50,finish,1,docs\Blocks\smallgrass
